Godot Engine v4.6.2.stable.official.71f334935 - https://godotengine.org

runtime_mountain_raster_walk_probe: start density=0.60
runtime_mountain_raster_walk_probe: route_size=7
STREAMING_STEP_TIMING total=7.90ms {"drain_packets":0.008,"drain_pages":0.005,"enqueue":0.463,"evict":0.299,"player_chunk":0.02,"prune":0.161,"publish":6.809,"queue_pages":0.113,"spawn":0.004,"wrap":0.013}
STREAMING_STEP_TIMING total=13.73ms {"drain_packets":0.007,"drain_pages":0.004,"enqueue":0.471,"evict":0.247,"player_chunk":0.015,"prune":0.152,"publish":12.723,"queue_pages":0.101,"spawn":0.002,"wrap":0.009}
STREAMING_STEP_TIMING total=9.33ms {"drain_packets":0.007,"drain_pages":0.005,"enqueue":0.473,"evict":0.244,"player_chunk":0.017,"prune":0.154,"publish":8.305,"queue_pages":0.117,"spawn":0.002,"wrap":0.006}
STREAMING_STEP_TIMING total=15.70ms {"drain_packets":0.007,"drain_pages":0.004,"enqueue":0.472,"evict":0.248,"player_chunk":0.012,"prune":0.149,"publish":14.688,"queue_pages":0.105,"spawn":0.002,"wrap":0.007}
STREAMING_STEP_TIMING total=8.29ms {"drain_packets":0.01,"drain_pages":0.005,"enqueue":0.541,"evict":0.261,"player_chunk":0.022,"prune":0.182,"publish":7.126,"queue_pages":0.13,"spawn":0.003,"wrap":0.01}
STREAMING_STEP_TIMING total=14.28ms {"drain_packets":0.006,"drain_pages":0.004,"enqueue":0.465,"evict":0.264,"player_chunk":0.015,"prune":0.143,"publish":13.266,"queue_pages":0.103,"spawn":0.002,"wrap":0.01}
STREAMING_STEP_TIMING total=7.54ms {"drain_packets":0.008,"drain_pages":0.005,"enqueue":0.477,"evict":0.265,"player_chunk":0.02,"prune":0.146,"publish":6.482,"queue_pages":0.12,"spawn":0.002,"wrap":0.01}
STREAMING_STEP_TIMING total=14.55ms {"drain_packets":0.008,"drain_pages":0.005,"enqueue":0.49,"evict":0.265,"player_chunk":0.014,"prune":0.186,"publish":13.476,"queue_pages":0.098,"spawn":0.002,"wrap":0.008}
STREAMING_STEP_TIMING total=7.30ms {"drain_packets":0.007,"drain_pages":0.005,"enqueue":0.508,"evict":0.279,"player_chunk":0.014,"prune":0.14,"publish":6.223,"queue_pages":0.116,"spawn":0.002,"wrap":0.008}
STREAMING_STEP_TIMING total=13.60ms {"drain_packets":0.006,"drain_pages":0.004,"enqueue":0.478,"evict":0.282,"player_chunk":0.014,"prune":0.138,"publish":12.558,"queue_pages":0.104,"spawn":0.002,"wrap":0.009}
STREAMING_STEP_TIMING total=7.81ms {"drain_packets":0.007,"drain_pages":0.005,"enqueue":0.486,"evict":0.277,"player_chunk":0.018,"prune":0.138,"publish":6.743,"queue_pages":0.121,"spawn":0.002,"wrap":0.007}
STREAMING_STEP_TIMING total=14.93ms {"drain_packets":0.006,"drain_pages":0.004,"enqueue":0.487,"evict":0.278,"player_chunk":0.015,"prune":0.136,"publish":13.887,"queue_pages":0.106,"spawn":0.002,"wrap":0.009}
STREAMING_STEP_TIMING total=6.09ms {"drain_packets":0.007,"drain_pages":0.005,"enqueue":0.482,"evict":0.294,"player_chunk":0.018,"prune":0.133,"publish":5.016,"queue_pages":0.119,"spawn":0.002,"wrap":0.011}
STREAMING_STEP_TIMING total=13.94ms {"drain_packets":0.007,"drain_pages":0.004,"enqueue":0.477,"evict":0.279,"player_chunk":0.016,"prune":0.132,"publish":12.899,"queue_pages":0.107,"spawn":0.002,"wrap":0.01}
STREAMING_STEP_TIMING total=7.87ms {"drain_packets":0.007,"drain_pages":0.005,"enqueue":0.494,"evict":0.3,"player_chunk":0.017,"prune":0.134,"publish":6.777,"queue_pages":0.119,"spawn":0.002,"wrap":0.009}
STREAMING_STEP_TIMING total=15.72ms {"drain_packets":0.006,"drain_pages":0.004,"enqueue":0.469,"evict":0.301,"player_chunk":0.014,"prune":0.13,"publish":14.682,"queue_pages":0.101,"spawn":0.002,"wrap":0.009}
STREAMING_STEP_TIMING total=8.95ms {"drain_packets":0.008,"drain_pages":0.005,"enqueue":0.481,"evict":0.281,"player_chunk":0.019,"prune":0.125,"publish":7.895,"queue_pages":0.119,"spawn":0.002,"wrap":0.01}
STREAMING_STEP_TIMING total=17.98ms {"drain_packets":0.008,"drain_pages":0.005,"enqueue":0.469,"evict":0.364,"player_chunk":0.014,"prune":0.122,"publish":16.878,"queue_pages":0.11,"spawn":0.001,"wrap":0.01}
STREAMING_STEP_TIMING total=8.86ms {"drain_packets":0.009,"drain_pages":0.006,"enqueue":0.647,"evict":0.366,"player_chunk":0.024,"prune":0.15,"publish":7.512,"queue_pages":0.132,"spawn":0.004,"wrap":0.009}
STREAMING_STEP_TIMING total=18.15ms {"drain_packets":0.007,"drain_pages":0.004,"enqueue":0.564,"evict":0.359,"player_chunk":0.016,"prune":0.141,"publish":16.934,"queue_pages":0.113,"spawn":0.002,"wrap":0.009}
